"","Total_Electric_Vehicles","Total_Charging_Stations","CS_to_EV_Ratio_Percent","Does_CS_Exist","Zip_Code","City","County","fips","state"
"212",52,6,11.54,TRUE,98433,"Fort lewis","Pierce",53053,"WA"
"213",57,0,0,FALSE,98439,"Lakewood center","Pierce",53053,"WA"
"214",57,0,0,FALSE,98443,"Tacoma","Pierce",53053,"WA"
"215",136,4,2.94,TRUE,98444,"Parkland","Pierce",53053,"WA"
"216",160,0,0,FALSE,98445,"Parkland","Pierce",53053,"WA"
"217",90,1,1.11,TRUE,98446,"Parkland","Pierce",53053,"WA"
"218",79,1,1.27,TRUE,98465,"Tacoma","Pierce",53053,"WA"
"219",397,0,0,FALSE,98466,"Fircrest","Pierce",53053,"WA"
"220",234,1,0.43,TRUE,98467,"Tacoma","Pierce",53053,"WA"
"221",264,3,1.14,TRUE,98498,"Lakewood center","Pierce",53053,"WA"
"222",163,4,2.45,TRUE,98499,"Lakewood center","Pierce",53053,"WA"
"223",1352,27,2,TRUE,98501,"Olympia","Thurston",53067,"WA"
"224",691,15,2.17,TRUE,98502,"Olympia","Thurston",53067,"WA"
"225",428,12,2.8,TRUE,98503,"Lacey","Thurston",53067,"WA"
"226",386,1,0.26,TRUE,98506,"Lacey","Thurston",53067,"WA"
"227",404,3,0.74,TRUE,98512,"Olympia","Thurston",53067,"WA"
"228",415,1,0.24,TRUE,98513,"Lacey","Thurston",53067,"WA"
"229",468,6,1.28,TRUE,98516,"Lacey","Thurston",53067,"WA"
"230",112,8,7.14,TRUE,98520,"Aberdeen","Grays Harbor",53027,"WA"
"231",54,0,0,FALSE,98524,"Allyn","Mason",53045,"WA"
"232",2,0,0,FALSE,98526,"Amanda park","Grays Harbor",53027,"WA"
"233",1,0,0,FALSE,98527,"Bay center","Pacific",53049,"WA"
"234",116,2,1.72,TRUE,98528,"Bear creek","Mason",53045,"WA"
"235",1,0,0,FALSE,98530,"Bucoda","Thurston",53067,"WA"
"236",154,6,3.9,TRUE,98531,"Centralia","Lewis",53041,"WA"
"237",158,2,1.27,TRUE,98532,"Chehalis","Lewis",53041,"WA"
"238",1,0,0,FALSE,98533,"Cinebar","Lewis",53041,"WA"
"239",1,0,0,FALSE,98535,"Copalis beach","Grays Harbor",53027,"WA"
"240",2,0,0,FALSE,98536,"Copalis crossing","Grays Harbor",53027,"WA"
"241",8,0,0,FALSE,98537,"Cosmopolis","Grays Harbor",53027,"WA"
"242",3,0,0,FALSE,98538,"Curtis","Lewis",53041,"WA"
"243",45,1,2.22,TRUE,98541,"Elma","Grays Harbor",53027,"WA"
